city,datetime,temperature,precipitation,wind_speed,wind_direction
Madrid Barajas,2026-04-13T00:00,9.0,0.0,11.4,13
Madrid Barajas,2026-04-13T01:00,8.3,0.0,12.7,7
Madrid Barajas,2026-04-13T02:00,7.5,0.0,9.4,358
Madrid Barajas,2026-04-13T03:00,6.9,0.0,10.1,4
Madrid Barajas,2026-04-13T04:00,6.3,0.0,9.3,13
Madrid Barajas,2026-04-13T05:00,5.9,0.0,6.4,16
Madrid Barajas,2026-04-13T06:00,5.4,0.0,3.3,13
Madrid Barajas,2026-04-13T07:00,5.0,0.0,2.9,353
Madrid Barajas,2026-04-13T08:00,4.8,0.0,2.3,309
Madrid Barajas,2026-04-13T09:00,5.3,0.0,2.2,270
Madrid Barajas,2026-04-13T10:00,7.3,0.0,3.0,256
Madrid Barajas,2026-04-13T11:00,9.5,0.0,6.1,320
Madrid Barajas,2026-04-13T12:00,11.6,0.0,11.6,338
Madrid Barajas,2026-04-13T13:00,13.0,0.0,14.9,345
Madrid Barajas,2026-04-13T14:00,13.7,0.0,15.8,339
Madrid Barajas,2026-04-13T15:00,14.4,0.0,18.5,336
Madrid Barajas,2026-04-13T16:00,14.9,0.0,17.6,329
Madrid Barajas,2026-04-13T17:00,15.3,0.0,17.4,336
Madrid Barajas,2026-04-13T18:00,15.6,0.0,16.3,332
Madrid Barajas,2026-04-13T19:00,15.4,0.0,14.4,328
Madrid Barajas,2026-04-13T20:00,14.9,0.0,11.9,325
Madrid Barajas,2026-04-13T21:00,13.8,0.0,12.7,305
Madrid Barajas,2026-04-13T22:00,12.6,0.0,6.8,302
Madrid Barajas,2026-04-13T23:00,11.6,0.0,4.7,279
Madrid Barajas,2026-04-14T00:00,10.8,0.0,5.8,277
Madrid Barajas,2026-04-14T01:00,9.9,0.0,5.6,285
Madrid Barajas,2026-04-14T02:00,9.2,0.0,3.3,276
Madrid Barajas,2026-04-14T03:00,8.6,0.0,2.6,286
Madrid Barajas,2026-04-14T04:00,7.8,0.0,2.6,326
Madrid Barajas,2026-04-14T05:00,6.6,0.0,1.6,27
